"id","jobcardno","jobcarddate","referid","wordorderno","wordorderdate","eqpttimein","dues","ininspector","outinspector","ininspectortrade","outinspectortrade","mothersection","timeforininsph","timeforininspm","timeforoutinsph","timeforoutinspm","fuelintank","inkm","datetimeout","timeinsiturepair","awaitingtimetech","awaitingtimetools","awaitingtimespares","veheqptoutdate","tsscleardate","tssclosingclk","jobcardclosedon","jobcardclosingclk","code","yearcode","remarks","instatus","outstatus","eqptfunctionalstatus","mainttype","exploitationtype","geographicloc","age","repairgap","previousstatus","previousjobref","spareissue","lrc","ttrrepairs","ttreqptinout","ttrjobclose","refbm","outkm","fuelouttank"
"39","B082809181","2012-08-26 00:00:00","280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40","B083562578","2024-07-12 00:00:00","430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41","B086866861","2006-05-22 00:00:00","134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42","B088987326","2009-02-26 00:00:00","204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43","B089209224","2007-03-07 00:00:00","84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44","B090996445","2018-02-28 00:00:00","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45","B091612532","2008-01-24 00:00:00","349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46","B096002506","2009-01-16 00:00:00","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47","B096345879","2020-01-12 00:00:00","409",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48","B098875105","2011-07-21 00:00:00","189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"49","B099828999","2008-12-20 00:00:00","184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50","B101971208","2006-09-19 00:00:00","400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","B103080554","2010-04-25 00:00:00","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52","B103193768","2007-01-11 00:00:00","298",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"53","B103859532","2011-06-23 00:00:00","361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54","B104821391","2024-01-07 00:00:00","247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"55","B108062130","2008-06-10 00:00:00","184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"56","B108519414","2021-09-03 00:00:00","475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"57","B113190468","2008-07-23 00:00:00","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58","B113243058","2018-12-14 00:00:00","386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"59","B113403272","2012-02-26 00:00:00","329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60","B115463729","2022-08-13 00:00:00","263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"61","B116481029","2013-08-03 00:00:00","106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"62","B119822202","2015-01-10 00:00:00","186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"63","B119906986","2012-10-10 00:00:00","330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"64","B120530641","2024-01-22 00:00:00","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65","B121374266","2018-03-06 00:00:00","420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66","B121561647","2006-12-13 00:00:00","345",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"67","B121684848","2022-05-30 00:00:00","402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"68","B124410945","2006-04-18 00:00:00","232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"69","B125366962","2024-06-09 00:00:00","456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"70","B126013090","2020-11-20 00:00:00","482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71","B126594866","2019-08-25 00:00:00","368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72","B129374194","2014-09-04 00:00:00","391",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"73","B131640210","2010-10-29 00:00:00","321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"74","B133057602","2018-10-21 00:00:00","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75","B133597477","2019-11-14 00:00:00","408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"76","B135590541","2021-01-28 00:00:00","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"77","B138464988","2020-09-07 00:00:00","333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"78","B141203455","2007-05-01 00:00:00","78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"79","B141468657","2022-05-25 00:00:00","439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"80","B147541285","2015-10-08 00:00:00","233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"81","B148875202","2006-11-11 00:00:00","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"82","B156157684","2024-10-10 00:00:00","328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"83","B161773124","2023-03-29 00:00:00","329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"84","B163559872","2005-03-24 00:00:00","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"85","B165838905","2016-04-11 00:00:00","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"86","B166962365","2006-01-26 00:00:00","134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"87","B167386853","2021-11-26 00:00:00","346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"88","B168933911","2024-01-15 00:00:00","471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"89","B176654929","2017-04-01 00:00:00","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"90","B177694940","2008-06-02 00:00:00","138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"91","B178646553","2017-12-19 00:00:00","479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"92","B181595349","2014-06-12 00:00:00","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93","B181723668","2014-05-04 00:00:00","52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94","B182890374","2023-11-29 00:00:00","426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"95","B185975922","2013-04-29 00:00:00","201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"96","B187002976","2015-11-01 00:00:00","358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97","B191491395","2011-05-01 00:00:00","281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"98","B192717153","2018-06-26 00:00:00","364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99","B193189495","2012-02-07 00:00:00","401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100","B193404235","2020-06-04 00:00:00","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101","B193414543","2011-04-22 00:00:00","311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102","B193553857","2007-09-11 00:00:00","383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"103","B193837933","2016-03-04 00:00:00","318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"104","B197776049","2016-11-08 00:00:00","238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"105","B202203402","2006-08-08 00:00:00","424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"106","B205337785","2017-08-30 00:00:00","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
