"id","refjobno","tcode","fault","workdone","repairdate","timetakenh","timetakenm","nooftrademen","entryclk","critical","scheduled"
,"39",,"828",,,,,,,"1",
,"39",,"359",,,,,,,"0",
,"39",,"1590",,,,,,,"0",
,"40",,"1692",,,,,,,"0",
,"40",,"1200",,,,,,,"0",
,"40",,"492",,,,,,,"0",
,"40",,"1118",,,,,,,"0",
,"41",,"172",,,,,,,"0",
,"41",,"271",,,,,,,"0",
,"41",,"1695",,,,,,,"0",
,"41",,"702",,,,,,,"1",
,"41",,"1252",,,,,,,"1",
,"42",,"154",,,,,,,"0",
,"42",,"850",,,,,,,"1",
,"42",,"1207",,,,,,,"1",
,"42",,"791",,,,,,,"1",
,"42",,"855",,,,,,,"0",
,"43",,"1539",,,,,,,"0",
,"43",,"382",,,,,,,"0",
,"43",,"336",,,,,,,"0",
,"43",,"29",,,,,,,"0",
,"43",,"135",,,,,,,"1",
,"44",,"878",,,,,,,"0",
,"44",,"1583",,,,,,,"1",
,"45",,"376",,,,,,,"1",
,"45",,"1252",,,,,,,"1",
,"45",,"1157",,,,,,,"0",
,"45",,"538",,,,,,,"0",
,"45",,"1375",,,,,,,"1",
,"46",,"833",,,,,,,"0",
,"46",,"1089",,,,,,,"0",
,"46",,"1017",,,,,,,"0",
,"46",,"1421",,,,,,,"0",
,"47",,"1075",,,,,,,"1",
,"47",,"736",,,,,,,"1",
,"47",,"799",,,,,,,"0",
,"47",,"939",,,,,,,"0",
,"48",,"528",,,,,,,"1",
,"48",,"78",,,,,,,"0",
,"48",,"4",,,,,,,"1",
,"49",,"1149",,,,,,,"1",
,"50",,"1596",,,,,,,"1",
,"50",,"254",,,,,,,"0",
,"50",,"1192",,,,,,,"1",
,"50",,"1348",,,,,,,"0",
,"50",,"303",,,,,,,"1",
,"51",,"71",,,,,,,"1",
,"51",,"1272",,,,,,,"1",
,"51",,"1688",,,,,,,"1",
,"51",,"1342",,,,,,,"1",
,"52",,"323",,,,,,,"1",
,"52",,"490",,,,,,,"0",
,"53",,"878",,,,,,,"1",
,"53",,"193",,,,,,,"1",
,"53",,"1316",,,,,,,"1",
,"53",,"828",,,,,,,"1",
,"54",,"1217",,,,,,,"1",
,"54",,"358",,,,,,,"0",
,"54",,"72",,,,,,,"0",
,"54",,"133",,,,,,,"0",
,"54",,"383",,,,,,,"1",
,"55",,"150",,,,,,,"0",
,"55",,"1374",,,,,,,"1",
,"55",,"1447",,,,,,,"0",
,"56",,"1527",,,,,,,"1",
,"57",,"1208",,,,,,,"0",
,"57",,"1455",,,,,,,"0",
,"57",,"1687",,,,,,,"1",
,"57",,"1072",,,,,,,"0",
,"58",,"363",,,,,,,"1",
,"58",,"1578",,,,,,,"1",
,"58",,"929",,,,,,,"1",
,"58",,"818",,,,,,,"1",
,"59",,"948",,,,,,,"0",
,"59",,"1563",,,,,,,"1",
,"59",,"778",,,,,,,"1",
,"59",,"765",,,,,,,"0",
,"59",,"337",,,,,,,"0",
,"60",,"697",,,,,,,"0",
,"61",,"1039",,,,,,,"0",
,"61",,"698",,,,,,,"0",
,"61",,"1454",,,,,,,"1",
,"62",,"373",,,,,,,"0",
,"62",,"299",,,,,,,"0",
,"62",,"1191",,,,,,,"0",
,"62",,"619",,,,,,,"0",
,"63",,"662",,,,,,,"0",
,"63",,"488",,,,,,,"1",
,"63",,"596",,,,,,,"0",
,"64",,"944",,,,,,,"0",
,"64",,"1231",,,,,,,"1",
,"64",,"1513",,,,,,,"1",
,"65",,"1450",,,,,,,"1",
,"66",,"960",,,,,,,"1",
,"66",,"245",,,,,,,"1",
,"66",,"1599",,,,,,,"1",
,"66",,"1657",,,,,,,"1",
,"66",,"669",,,,,,,"0",
,"67",,"1679",,,,,,,"1",
,"67",,"1477",,,,,,,"1",
,"67",,"1080",,,,,,,"1",
,"67",,"648",,,,,,,"1",
,"68",,"1144",,,,,,,"0",
,"68",,"625",,,,,,,"1",
,"69",,"330",,,,,,,"0",
,"70",,"1183",,,,,,,"1",
,"70",,"359",,,,,,,"0",
,"71",,"1569",,,,,,,"1",
,"71",,"226",,,,,,,"0",
,"71",,"738",,,,,,,"1",
,"72",,"1375",,,,,,,"0",
,"72",,"188",,,,,,,"1",
,"73",,"462",,,,,,,"1",
,"73",,"976",,,,,,,"1",
,"73",,"1453",,,,,,,"0",
,"74",,"1330",,,,,,,"0",
,"75",,"460",,,,,,,"1",
,"75",,"1029",,,,,,,"0",
,"75",,"1466",,,,,,,"0",
,"75",,"1245",,,,,,,"1",
,"75",,"188",,,,,,,"0",
,"76",,"1294",,,,,,,"1",
,"76",,"1013",,,,,,,"1",
,"76",,"1245",,,,,,,"0",
,"76",,"1252",,,,,,,"0",
,"77",,"287",,,,,,,"0",
,"77",,"66",,,,,,,"1",
,"77",,"1118",,,,,,,"1",
,"77",,"1431",,,,,,,"1",
,"78",,"771",,,,,,,"1",
,"78",,"273",,,,,,,"0",
,"78",,"1047",,,,,,,"1",
,"78",,"768",,,,,,,"0",
,"79",,"1080",,,,,,,"0",
,"79",,"359",,,,,,,"0",
,"79",,"1304",,,,,,,"1",
,"79",,"6",,,,,,,"0",
,"80",,"1135",,,,,,,"1",
,"80",,"235",,,,,,,"0",
,"80",,"1600",,,,,,,"0",
,"80",,"1564",,,,,,,"0",
,"80",,"1065",,,,,,,"0",
,"81",,"1375",,,,,,,"0",
,"81",,"96",,,,,,,"0",
,"82",,"1506",,,,,,,"1",
,"83",,"1528",,,,,,,"1",
,"83",,"869",,,,,,,"0",
,"83",,"585",,,,,,,"0",
