"id","erid","cat","eqptstatus","eqptfunctionalstatus","userunit","catasperfrs","issuetype","dataentryclkname","datedataentry","code","regnno","nomenclature","eoavordate","pssdate","dependentwksp","dtofissue","vintagedate","wtystartdate","wtyduration","maineqptlink1","maineqptlink2","remarksasperfrs","repairprogress","tentativedaterepair","contactperson","inkm","chassisno","chassiskm","userchassiskm","userkm","usereqptstatus","userremarks","userupdate","splnotes","eqptloc","regimental_serno","disable"
"1",,"157",,,"103",,,,,,"00FN596917K","Suzuki Access 125cc",,,,"2015-08-18 00:00:00",,,,,,,,,,"137742",,,,,,,,,,,
"2",,"146",,,"110",,,,,,"00JM034823K","Eicher Canter 10.75",,,,"2014-05-28 00:00:00",,,,,,,,,,"88485",,,,,,,,,,,
"3",,"135",,,"107",,,,,,"01AD188475I","Hero Splendor Plus 100cc",,,,"2015-04-07 00:00:00",,,,,,,,,,"81816",,,,,,,,,,,
"4",,"135",,,"103",,,,,,"01AU050484F","Hero Splendor Plus 100cc",,,,"2023-09-17 00:00:00",,,,,,,,,,"197650",,,,,,,,,,,
"5",,"160",,,"92",,,,,,"01GD014460L","Tata Prima 4028 Truck",,,,"2010-06-10 00:00:00",,,,,,,,,,"124193",,,,,,,,,,,
"6",,"123",,,"86",,,,,,"01MF999204Z","LCV 2.5 Ton LPTA 713/715",,,,"2008-03-16 00:00:00",,,,,,,,,,"157458",,,,,,,,,,,
"7",,"136",,,"94",,,,,,"01MS859984H","Mahindra Commander Jeep",,,,"2006-12-10 00:00:00",,,,,,,,,,"49943",,,,,,,,,,,
"8",,"151",,,"94",,,,,,"01NX381215R","Mahindra Tractor 575 DI",,,,"2024-09-21 00:00:00",,,,,,,,,,"7489",,,,,,,,,,,
"9",,"150",,,"106",,,,,,"01PB861524K","Swaraj Tractor 744 FE",,,,"2008-01-27 00:00:00",,,,,,,,,,"64233",,,,,,,,,,,
"10",,"148",,,"99",,,,,,"01UJ842837A","JCB Excavator 3DX",,,,"2006-08-27 00:00:00",,,,,,,,,,"58919",,,,,,,,,,,
