"faultid","subcatcode","refsubsystem","faultcode","faultnumber","faults","repairtimeh","repairtimem","remarks","nooftrademen","workdone","critical","scheduled","disable"
"0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0","0","0"
"1","909.0","1.0","1.0","A00001001","Cocking cable of NSVT bkn (AAMG_NSVT_ARMT) A00001001","2.0","30.0","NaN","1.0","NaN","0","1","0"
"2","909.0","1.0","2.0","A00001002","NSVT body bulged (AAMG_NSVT_ARMT) A00001002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"3","909.0","1.0","3.0","A00001003","NSVT brl pitted  (AAMG_NSVT_ARMT) A00001003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"4","909.0","1.0","4.0","A00001004","NSVT Stab Sys N/W  (AAMG_NSVT_ARMT) A00001004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"5","909.0","1.0","5.0","A00001005","NSVT cocking handle stud bkn (AAMG_NSVT_ARMT) A00001005","0.0","30.0","NaN","1.0","NaN","0","1","0"
"6","909.0","1.0","6.0","A00001006","NSVT Sys N/W (AAMG_NSVT_ARMT) A00001006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"7","909.0","1.0","7.0","A00001007","NSVT electrical cct N/W (AAMG_NSVT_ARMT) A00001007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"8","909.0","2.0","1.0","A00002001","Air bottle leaking (AIR CHARGING) A00002001","0.0","30.0","NaN","1.0","NaN","0","1","0"
"9","909.0","2.0","2.0","A00002002","Air comp 2nd stage pipe bkn (AIR CHARGING) A00002002","0.0","30.0","NaN","1.0","NaN","0","1","0"
"10","909.0","2.0","3.0","A00002003","Air Comp belt bkn (AIR CHARGING) A00002003","0.0","30.0","NaN","1.0","NaN","0","1","0"
"11","909.0","2.0","4.0","A00002004","Air Comp N/W (AIR CHARGING) A00002004","0.0","30.0","NaN","1.0","NaN","0","1","0"
"12","909.0","2.0","5.0","A00002005","Air comp assy bkn (AIR CHARGING) A00002005","0.0","30.0","NaN","1.0","NaN","1","1","0"
"13","909.0","2.0","6.0","A00002006","Air comp Drive shaft brg bkn (AIR CHARGING) A00002006","0.0","30.0","NaN","1.0","NaN","0","1","0"
"14","909.0","2.0","7.0","A00002007","Air comp out put low (AIR CHARGING) A00002007","0.0","30.0","NaN","1.0","NaN","0","1","0"
"15","909.0","2.0","8.0","A00002008","Air cyl leaking (AIR CHARGING) A00002008","0.0","30.0","NaN","1.0","NaN","0","1","0"
"16","909.0","2.0","9.0","A00002009","Air cyl valve defective (AIR CHARGING) A00002009","0.0","30.0","NaN","1.0","NaN","0","1","0"
"17","909.0","2.0","10.0","A00002010","Air distributor timing disturbed (AIR CHARGING) A00002010","0.0","30.0","NaN","1.0","NaN","0","1","0"
"18","909.0","2.0","11.0","A00002011","Air not filling in air bottle  (AIR CHARGING) A00002011","0.0","30.0","NaN","1.0","NaN","0","1","0"
"19","909.0","2.0","12.0","A00002012","Air pr not building up (AIR CHARGING) A00002012","0.0","30.0","NaN","1.0","NaN","0","1","0"
"20","909.0","2.0","13.0","A00002013","Air pressure regulator work (AIR CHARGING) A00002013","0.0","30.0","NaN","1.0","NaN","0","1","0"
"21","909.0","2.0","14.0","A00002014","Air pressure pipe crack  (AIR CHARGING) A00002014","0.0","30.0","NaN","1.0","NaN","0","1","0"
