"id","partno","sectionno","ledgerno","codenk","itemname","mua","ved","fns","accountingunit","scaledto","inlieupartno","pageno","pagenoold","eqptcode","location","msnumber","mspageno","mslocation","msitemsrlno","unitprice","duesin","dateofmmf","mmf","leadtime","fwp","dateentered","dataentryclk","dateupdated","procurecostmax","procurecostmin","procuretimeaverage","abc","stock","disable","inlieupartno1","inlieupartno2","auth","module"
"14027","ND-2920-000006                            ","147","1",,"PLUG SPARKING SIZE 14MM REACH 12.7MM","false","0","3","9","1001",,,,"10001","          /B1G1      /          ","0",,,"0","0.0","0","1900-01-01 00:00:00","3",,"0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00",,,,"3","3",,,,,
"14030","2920-000402","26","81",,"VOLTAGE REGULATOR (3 UNIT)","false","2","2","9","2",,"---",,"454","R1A3","0",,"0",,"0.0",,"2019-02-02 00:00:00",,"3","1","2010-07-21 00:00:00","173","2019-02-02 00:00:00","0.0","0.0","0","2","-2","1",,,"1.0","0"
"14047","78460-M-78002","42","45",,"DOOR HANDLE REGULATOR","false","2","3","9","2",,"----",,"121","B2/C1",,,"0",,"29.0",,"2019-02-02 00:00:00",,"3","0","2011-03-06 00:00:00","173","2019-02-02 00:00:00","0.0","0.0","0","2","0","1",,,"1.0","0"
"14048","84701M75M10                               ","144","1",,"MIRRROR ASSY OUT REAR VIEW RH","false","0","3","9","1001",,,,"10001","          /          /          ","0",,,"0","0.0","0","1900-01-01 00:00:00","0",,"0","2023-02-24 00:00:00","1001","2023-02-24 00:00:00",,,,"3","2",,,,,
"14051","2940-000995","42","81",,"FUEL FILTER","false","2","3","9","2",,"----",,"692","B2/F3",,,"0",,"986.0",,"2019-02-02 00:00:00",,"3","2","2010-05-31 00:00:00","173","2019-02-02 00:00:00","0.0","0.0","0","2","0","1",,,"1.0","0"
"14068","3049833                                   ","124","83",,"FUEL FILTER","false","0","3","9","2",,"1",,"137","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","0",,,,"1.0","0"
"14119","2574-1511-4904                            ","49","82",,"SOLONIOD SWITCH","false","0","3","9","2",,"109",,"123","          /          /          ","0",,"0","0","0.0","0","1900-01-01 00:00:00","3","3","0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"0","0",,,,"1.0","0"
"14126","2520-013048(22201-GF6-000)                ","35","1",,"DISC CLUTCH FRICTION","false","0","3","9","1001",,,,"10001","          /          /          ","0",,,"0","0.0","0","1900-01-01 00:00:00","3",,"0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00","0.0","0.0",,"3","2",,,,,
"14131","->37648                                   ","35","1",,"PINION SPEEDOMETER","false","0","3","9","1001",,,,"10001","          /          /          ","0",,,"0","0.0","0","1900-01-01 00:00:00","3",,"0","1900-01-01 00:00:00","1001","1900-01-01 00:00:00",,,,"0","0",,,,,
"14552","112053                                    ","46","109",,"PISTON RING SET","false","0","3","9","2","112053","1","MC RE 350CC (1.1) Pg- 11","14","          /B1E3      /          ","0",,"0","0","0.0",,"2023-08-18 00:00:00","0","3","0","2022-12-08 00:00:00","1001","2023-08-18 00:00:00","850.0","443.0",,"3","0",,,,"1.0","0"
