"id","partnoid","voucherno","refjobid","reffaultid","quantityrequired","demandedby","demandeddate","returnpartno","receipts","receiptr","receiptu","issues","issuer","issueu","issueddate","noofdays","stockbalances","stockbalancer","stockbalanceu","demandnumber","receivedby","remarks","dateupdated","dataentryclk","procurementtime","status","approvedby","approvaldate","itemcall"
"1","36420",,"157",,,,,,,,,"CABLE ASSY CONTROL",,,,,,,,,,,,,,,,,
"2","10583980",,"21",,,,,,,,,"ROD CONNECTING",,,,,,,,,,,,,,,,,
"3","18873",,"167",,,,,,,,,"SOLENOID SWITCH",,,,,,,,,,,,,,,,,
"4","34461",,"161",,,,,,,,,"CIRCUIT CARD ASSY PRE-SCALAR & TCXO (C23",,,,,,,,,,,,,,,,,
"5","10445785",,"218",,,,,,,,,"ASSY REFILLING CONTAINER COMPLETE",,,,,,,,,,,,,,,,,
"6","34914",,"316",,,,,,,,,"PAINT RFU FIN MATT AS BR SPR WHITE",,,,,,,,,,,,,,,,,
"7","34712",,"489",,,,,,,,,"BALL JOINT RH",,,,,,,,,,,,,,,,,
"8","34093",,"45",,,,,,,,,"GASKET 06825-04",,,,,,,,,,,,,,,,,
"9","10036324",,"69",,,,,,,,,"INSULATION TAPE ELECTRICAL PVC ADHESIVE",,,,,,,,,,,,,,,,,
"10","10606158",,"222",,,,,,,,,"GUIDE BLOCK",,,,,,,,,,,,,,,,,
"11","18837",,"173",,,,,,,,,"MOTHER BOARD",,,,,,,,,,,,,,,,,
"12","23150",,"500",,,,,,,,,"SWITCH FRONT BRAKE LIGHT",,,,,,,,,,,,,,,,,
"13","38012",,"182",,,,,,,,,"INLET & EXHAUST VALVE SET",,,,,,,,,,,,,,,,,
"14","20780",,"255",,,,,,,,,"IGNITION COIL",,,,,,,,,,,,,,,,,
"15","36494",,"323",,,,,,,,,"AIR BREATHER PIPE",,,,,,,,,,,,,,,,,
"16","37278",,"109",,,,,,,,,"BLOCK FIRING PISTOL GRIP",,,,,,,,,,,,,,,,,
"17","20958",,"79",,,,,,,,,"SPRING FOOT STARTER RETURN",,,,,,,,,,,,,,,,,
"18","24743",,"288",,,,,,,,,"ROLLER CAGE (DOUBLE ROW)",,,,,,,,,,,,,,,,,
"19","36187",,"385",,,,,,,,,"RING FLY WHEEL GEAR Z-126",,,,,,,,,,,,,,,,,
"20","10450156",,"455",,,,,,,,,"PIPE TO IC TO ENGINE TURBO APRIATED",,,,,,,,,,,,,,,,,
"21","37239",,"103",,,,,,,,,"RECTIFIRE ASSY",,,,,,,,,,,,,,,,,
"22","34170",,"104",,,,,,,,,"WASHER SPRING TENSION (107 214 115 100)",,,,,,,,,,,,,,,,,
"23","38027",,"376",,,,,,,,,"PASSENGER/DRIVER FAN 24V",,,,,,,,,,,,,,,,,
"24","37059",,"178",,,,,,,,,"CABLE ASSY POWER ELECTRICAL CONNECTING A",,,,,,,,,,,,,,,,,
"25","37781",,"90",,,,,,,,,"RUBBER HOSE FOR VACCUM PUMP",,,,,,,,,,,,,,,,,
"26","33775",,"464",,,,,,,,,"HOSE RADIATOR OUTLET TO WATER PUMP",,,,,,,,,,,,,,,,,
"27","35581",,"393",,,,,,,,,"SHAFT SEALING GUFERO G 58X80X13 HHS",,,,,,,,,,,,,,,,,
"28","10451235",,"38",,,,,,,,,"ASSY CLUTCH MASTER CYLINDER",,,,,,,,,,,,,,,,,
"29","24743",,"348",,,,,,,,,"ROLLER CAGE (DOUBLE ROW)",,,,,,,,,,,,,,,,,
"30","10436459",,"499",,,,,,,,,"INJECTOR ASSY",,,,,,,,,,,,,,,,,
"31","18691",,"164",,,,,,,,,"ADHESIVE SYNTHETIC RESIN ARALDITE AY-105",,,,,,,,,,,,,,,,,
"32","10606127",,"252",,,,,,,,,"GUIDE BLOCK",,,,,,,,,,,,,,,,,
"33","23095",,"149",,,,,,,,,"LINK ROD ASSY",,,,,,,,,,,,,,,,,
"34","18690",,"282",,,,,,,,,"ADHESIVE PADDING GLUE (MOWICOL 'L')",,,,,,,,,,,,,,,,,
"35","36198",,"362",,,,,,,,,"STEERING GASKET",,,,,,,,,,,,,,,,,
"36","37058",,"74",,,,,,,,,"SWITCH PUSH RED TYPE 3 SA 1101 WITH NORM",,,,,,,,,,,,,,,,,
"37","36234",,"29",,,,,,,,,"LAMP ASSY PLUG",,,,,,,,,,,,,,,,,
"38","18577",,"105",,,,,,,,,"PIN COTTER SPLIT 8X10 STEEL",,,,,,,,,,,,,,,,,
"39","36565",,"297",,,,,,,,,"SIDE GLASS",,,,,,,,,,,,,,,,,
"40","20000032",,"19",,,,,,,,,"ASSY STEERING PUMP",,,,,,,,,,,,,,,,,
"41","14614",,"30",,,,,,,,,"GEAR SLIDING 21T & 18T MAIN SHAFT",,,,,,,,,,,,,,,,,
"42","35980",,"233",,,,,,,,,"S/A of Detent Plunger",,,,,,,,,,,,,,,,,
"43","35371",,"270",,,,,,,,,"ELEMENT FUEL FILTER",,,,,,,,,,,,,,,,,
"44","10329820",,"348",,,,,,,,,".HIGH PRESSURE HOSE JS 10X300 HVI",,,,,,,,,,,,,,,,,
"45","36006",,"243",,,,,,,,,"'O' RING",,,,,,,,,,,,,,,,,
"46","24662",,"188",,,,,,,,,"GASKET OIL DRAIN",,,,,,,,,,,,,,,,,
"47","29679",,"395",,,,,,,,,"RAM Service Kit",,,,,,,,,,,,,,,,,
"48","23375",,"374",,,,,,,,,"PLUG SPARK",,,,,,,,,,,,,,,,,
"49","10111878",,"95",,,,,,,,,"CIRCUIT CARD ASSEMBLY (MBRD CARD)",,,,,,,,,,,,,,,,,
"50","35843",,"334",,,,,,,,,"FUSE 15AMP",,,,,,,,,,,,,,,,,
"51","28252",,"182",,,,,,,,,"CAP OIL FILTER",,,,,,,,,,,,,,,,,
"52","20000150",,"24",,,,,,,,,"SPEEDOMETER",,,,,,,,,,,,,,,,,
"53","37675",,"420",,,,,,,,,"ASSY SPRING BRAKE ACTUATOR TYPE 16/56",,,,,,,,,,,,,,,,,
"54","35259",,"349",,,,,,,,,"KIT MASTER CYL (MINOR)",,,,,,,,,,,,,,,,,
"55","35324",,"71",,,,,,,,,"CELL OPTICAL ELEMENT",,,,,,,,,,,,,,,,,
"56","37926",,"135",,,,,,,,,"MSL GASKET (CYL HEAD TO CYL BARREL)",,,,,,,,,,,,,,,,,
"57","33456",,"137",,,,,,,,,"RUBBER SEAL",,,,,,,,,,,,,,,,,
"58","34611",,"40",,,,,,,,,"DRAIN SCREW M14X1.5",,,,,,,,,,,,,,,,,
"59","33731",,"119",,,,,,,,,"COIL ASSY IGNITION",,,,,,,,,,,,,,,,,
"60","37156",,"493",,,,,,,,,"VALVE SET EXHAUST",,,,,,,,,,,,,,,,,
"61","37934",,"403",,,,,,,,,"HORN COMP HIGH",,,,,,,,,,,,,,,,,
"62","36090",,"403",,,,,,,,,"FOURTEENTH LEAF",,,,,,,,,,,,,,,,,
"63","20000198",,"4",,,,,,,,,"WEIGHT 60 GM",,,,,,,,,,,,,,,,,
