"subcatid","subcategoryname","categoryname","subcategorycode","mothersection","catasperfrs","remarks","oemname","oemaddress","oemcontactno","oememail","tentativecost","ohperiodicity","dependentmag","dependentbasewksp","warrantyduration","vehclassification1","vehclassification2","vehclassification3","vehclassification4","calibrationduration","stripinspectionduration","ahspref","orddep","mr1yrsfrom","mr1yrsto","mr1kmfrom","mr1kmto","mr2yrsfrom","mr2yrsto","mr2kmfrom","mr2kmto","ohyrsfrom","ohyrsto","ohkmfrom","ohkmto","mr3yrsfrom","mr3yrsto","mr3kmfrom","mr3kmto","enablesummary","gencatcheck","remarks1","status"
"13","MC 100cc Hero Honda CD-100","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14","M/C 350cc R/E","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"120","Car Ambassador 1800 ISZU (with MPFI & w/o MPFI)","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"121","Maruti Gypsy (All Models)","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"122","Jeep M&M 550XD","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"123","LCV 2.5 Ton LPTA 713/715","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"124","Tata 3/5 Ton-1015TC/36 & 42 FAT","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"125","Swaraj Mazda","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"126","Tata Sumo Lt Amb","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"127","LCV DCM Toyota Dyna","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"128","Ashok Leyland Stallion 4x4","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"129","Ashok Leyland Stallion 6x6","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"130","Tata 407 LPT","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"131","Tata 709 LPTA","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"132","Bajaj Chetak Scooter","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"133","Yezdi 250cc Motorcycle","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"134","Royal Enfield 500cc Classic","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"135","Hero Splendor Plus 100cc","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"136","Mahindra Commander Jeep","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"137","Mahindra Bolero SLX","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"138","Maruti Suzuki Omni Van","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"139","Maruti Esteem 1300cc","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"140","Maruti Zen (All Models)","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"141","Tata Indica V2 Diesel","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"142","Tata Indigo LS","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"143","Tata Safari Dicor 2.2","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"144","Force Motors Traveller 3050","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"145","Ashok Leyland Bus 1616H","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"146","Eicher Canter 10.75","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"147","BEML Dozer BD-80","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"148","JCB Excavator 3DX","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"149","Escort Tractor 60 HP","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"150","Swaraj Tractor 744 FE","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"151","Mahindra Tractor 575 DI","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"152","Hero Passion Pro 110cc","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"153","Honda Activa 125cc","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"154","TVS Apache RTR 160cc","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"155","Yamaha RX-100","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"156","Yamaha FZ-S V3 150cc","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"157","Suzuki Access 125cc","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"158","Piaggio Ape Auto Rickshaw","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"159","Ashok Leyland Hippo 10x10","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"160","Tata Prima 4028 Truck","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"161","Scania P410 Tipper","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"162","Volvo FMX 440 8x4","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"163","Mercedes-Benz Actros 4841K","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"164","MAN CLA 49.280 Tractor","B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
