"userunit_id","userunit_name","userunit_address","userunit_remarks","uu_loc","password","movedout"
"86","327 FD HOSP","C/o 99 APO",,"7",,"false"
"87","45 Engr Regt","PANAGARH",,"7",,"false"
"88","912 FD WKSP COY EME","C/o 99 APO",,"7",,"false"
"89","Station HQ KOLKATA","PANAGARH",,"7",,"false"
"90","19 RAJ RIF","C/O 99 APO",,"8",,"false"
"91","222 Coy ASC (Sup) Type A","PANAGARH",,"8",,"false"
"92","HQ 17 Corps","PANAGARH CANTT",,"7",,"false"
"93","772 EME BN","C/o 99 APO","IndirectLoadUnit","7",,"false"
"94","STATION HQ RANCHI","RANCHI",,"7",,"false"
"95","31 FD WKSP","C/o 99 APO",,"8",,"false"
"96","Central Signal Regt","C/o 99 APO",,"7",,"false"
"97","MH Ranchi","C/o 99 APO",,"7",,"false"
"98","19 Engr Regt","PANAGARH",,"7",,"false"
"99","48 FD INF DET","C/o 99 APO",,"8",,"false"
"100","STATION HQ PANAGARH EXT","PANAGARH","IndirectLoadUnit","7",,"false"
"101","26 RAJPUT","PANAGARH",,"7",,"false"
"102","82 Coy ASC (Sup) Type C","C/o 99 APO",,"7",,"false"
"103","Station Supply Depot","PANAGARH",,"8",,"false"
"104","93 FD WKSP COY EME","C/o 99 APO",,"7",,"false"
"105","25 FD HOSP","C/o 99 APO",,"7",,"false"
"106","HQ 6 Mtn Div","PANAGARH",,"7",,"false"
"107","STATION HQ DURGAPUR","DURGAPUR",,"7",,"false"
"108","118 INF BN (TA)","PANAGARH",,"8",,"false"
"109","Mtn Arty Regt","C/o 99 APO",,"7",,"false"
"110","17 FD WKSP","C/o 99 APO",,"7",,"false"
"111","MMC Ranchi","RANCHI",,"7",,"false"
"112","8 CI DET","PANAGARH",,"7",,"false"
"113","STATION HQ PANAGARH NORTH","PANAGARH","Replace by STN HQ PANAGARH","7",,"false"
"114","16 Engr Regt","PANAGARH",,"7",,"false"
"115","59 Inf Div HQ Signal Unit","C/o 99 APO",,"7",,"false"
